name,klass-name,seed
Carlos Alcaraz,Alcaraz,1
Dominik Koepfer,Koepfer,
Lloyd Harris,Harris,
Guido Pella,Pella,
Botic van De Zandschulp,missing,
Jordan Thompson,Thompson,
Daniel Elahi Galan,Galan,
Daniel Evans,Evans,26
Tallon Griekspoor,Griekspoor,24
Arthur Fils,Fils,
Jason Kubler,Kubler,
Matteo Arnaldi,Arnaldi,
Thanasi Kokkinakis,Kokkinakis,
 Qualifier,missing,Q
Alexander Shevchenko,Shevchenko,
Cameron Norrie,Norrie,16
Alexander Zverev,Zverev,12
Aleksandar Vukic,Vukic,
Daniel Altmaier,Altmaier,
Constant Lestienne,Lestienne,
Andy Murray,Murray_Andy,
Corentin Moutet,Moutet,
Alex Molcan,Molcan,
Grigor Dimitrov,Dimitrov,19
Tomas Martin Etcheverry,Etcheverry,30
 Qualifier,missing,Q
Stan Wawrinka,Wawrinka,
Yoshihito Nishioka,Nishioka,
 Qualifier,missing,Q
Lorenzo Sonego,Sonego,
Yannick Hanfmann,Hanfmann,
Jannik Sinner,Sinner,6
Daniil Medvedev,Medvedev,3
Attila Balazs,missing,
Max Purcell,Purcell,
Christopher O'Connell,OConnell,
Kei Nishikori,missing,
 Qualifier,missing,Q
Sebastian Baez,Baez,
Borna Coric,Coric,27
Nicolas Jarry,Jarry,23
Luca Van Assche,Van_Assche,
Albert Ramos-Vinolas,Ramos_Vinolas,
Alex Michelsen,missing,WC
Yibing Wu,Wu,
Dusan Lajovic,Lajovic,
 Qualifier,missing,Q
Alex de Minaur,missing,13
Karen Khachanov,Khachanov,11
Michael Mmoh,Mmoh,WC
Facundo Diaz Acosta,missing,
John Isner,Isner,WC
Radu Albot,Albot,
Jack Draper,Draper,
Marc-Andrea Huesler,Huesler,
Hubert Hurkacz,Hurkacz,17
Ugo Humbert,Humbert,29
Matteo Berrettini,Berrettini,
Diego Schwartzman,Schwartzman,
Arthur Rinderknech,Rinderknech,
 Qualifier,missing,Q
Gael Monfils,Monfils,
Emil Ruusuvuori,Ruusuvuori,
Andrey Rublev,Rublev,8
Casper Ruud,Ruud,5
 Qualifier,missing,Q
J.J. Wolf,Wolf,
Zhizhen Zhang,Zhang_Zhizhen,
Rinky Hijikata,Hijikata,WC
Pavel Kotov,Kotov,
Marton Fucsovics,Fucsovics,
Sebastian Korda,Korda,31
Adrian Mannarino,Mannarino,22
Yosuke Watanuki,Watanuki,
Richard Gasquet,Gasquet,
Fabian Marozsan,Marozsan,
Sebastian Ofner,Ofner,
Nuno Borges,Borges,
Learner Tien,missing,WC
Frances Tiafoe,Tiafoe,10
Tommy Paul,Paul,14
 Qualifier,missing,Q
Roman Safiullin,Safiullin,
Marco Cecchinato,Cecchinato,
Ilya Ivashka,Ivashka,
Juan Manuel Cerundolo,Cerundolo_Juan,
Marcos Giron,Giron,
Alejandro Davidovich Fokina,Davidovich_Fokina,21
Alexander Bublik,Bublik,25
Dominic Thiem,Thiem,
Pedro Cachin,Cachin,
Ben Shelton,Shelton,
Aslan Karatsev,Karatsev,
Jiri Lehecka,Lehecka,
Roberto Carballes Baena,Carballes_Baena,
Holger Rune,Rune,4
Stefanos Tsitsipas,Tsitsipas,7
Milos Raonic,Raonic,
 Qualifier,missing,Q
Alexei Popyrin,Popyrin,
Quentin Halys,Halys,
Benjamin Bonzi,Bonzi,WC
Soonwoo Kwon,missing,
Christopher Eubanks,Eubanks,28
Lorenzo Musetti,Musetti,18
 Qualifier,missing,Q
 Qualifier,missing,Q
Gregoire Barrere,Barrere,
Miomir Kecmanovic,Kecmanovic,
Juan Pablo Varillas,Varillas,
Steve Johnson,missing,WC
Taylor Fritz,Fritz,9
Felix Auger-Aliassime,Auger_Aliassime,15
Mackenzie McDonald,Mcdonald,
Hugo Dellien,Dellien,
 Qualifier,missing,Q
Jiri Vesely,Vesely,
 Qualifier,missing,Q
 Qualifier,missing,Q
Francisco Cerundolo,Cerundolo_Francisco,20
Laslo Djere,Djere,32
Brandon Nakashima,Nakashima,
 Qualifier,missing,Q
 Qualifier,missing,Q
Bernabe Zapata Miralles,Zapata_Miralles,
Ethan Quinn,missing,WC
Alexandre Muller,Muller,
Novak Djokovic,Djokovic,2
