Iga Swiatek,Swiatek,1
Rebecca Peterson,Peterson,
Clervie Ngounoue,Clervie_Ngounoue,WC
Daria Saville,Saville,
Lauren Davis,Davis,
Danka Kovinic,Kovinic,
Kaja Juvan,Juvan,Q
Elisabetta Cocciaretto,Cocciaretto,29
Jelena Ostapenko,Ostapenko,20
Jasmine Paolini,Paolini,
Alizé Cornet,Alizé_Cornet,
Elina Avanesyan,Avanesyan,
Julia Grabher,Grabher,
Xiyu Wang,Wang_Xiyu,
Bernarda Pera,Pera,
Veronika Kudermetova,Kudermetova_Veronika,16
Petra Kvitova,Kvitova,11
Cristina Bucsa,Bucsa,
Tatiana Prozorova,Tatiana_Prozorova,Q
Caroline Wozniacki,Caroline_Wozniacki,WC
Kimberly Birrell,Birrell,LL
Jennifer Brady,Brady,
Aliaksandra Sasnovich,Sasnovich,
Magda Linette,Linette,24
Elise Mertens,Mertens,32
Mirjam Bjorklund,Bjorklund,Q
Danielle Collins,Collins,
Linda Fruhvirtova,Fruhvirtova_Linda,
Olivia Gadecki,Gadecki,Q
Mirra Andreeva,Andreeva_Mirra,
Laura Siegemund,Siegemund,Q
Coco Gauff,Gauff,6
Elena Rybakina,Rybakina,4
Marta Kostyuk,Kostyuk,
Panna Udvardy,Udvardy,
Ajla Tomljanovic,Ajla_Tomljanovic,
Anna Kalinskaya,Kalinskaya,
Katerina Siniakova,Siniakova,
Kayla Day,Kayla_Day,WC
Sorana Cirstea,Cirstea,30
Victoria Azarenka,Azarenka,18
Fiona Ferro,Fiona_Ferro,WC
Lin Zhu,Zhu,
Mayar Sherif,Sherif,
Yuriko Lily Miyazaki,Yuriko_Lily_Miyazaki,Q
Margarita Betova,Betova,
Kamilla Rakhimova,Rakhimova,
Belinda Bencic,Bencic,15
Karolina Muchova,Muchova,10
Storm Hunter,Hunter,WC
Magdalena Frech,Frech,
Emma Navarro,Navarro,
Varvara Gracheva,Gracheva,
Taylor Townsend,Townsend,
Sloane Stephens,Stephens,
Beatriz Haddad Maia,Haddad_Maia,19
Anhelina Kalinina,Kalinina,28
Sara Sorribes Tormo,Sorribes_Tormo,
Katie Volynets,Volynets,Q
Xinyu Wang,Wang_Xinyu,
Anna Karolina Schmiedlova,Schmiedlova,
Kateryna Baindl,Baindl,
Rebeka Masarova,Masarova,
Maria Sakkari,Sakkari,8
Caroline Garcia,Garcia,7
Yafan Wang,Yafan_Wang,Q
Katie Boulter,Boulter,
Diane Parry,Parry,
Peyton Stearns,Stearns,
Viktoriya Tomova,Tomova,
Clara Tauson,Clara_Tauson,
Anastasia Potapova,Potapova,27
Ekaterina Alexandrova,Alexandrova,22
Leylah Fernandez,Fernandez,
Elsa Jacquemot,Elsa_Jacquemot,Q
Lesia Tsurenko,Tsurenko,
Martina Trevisan,Trevisan,
Yulia Putintseva,Putintseva,
Na Lae Han,Na_Lae_Han,Q
Marketa Vondrousova,Vondrousova,9
Liudmila Samsonova,Samsonova,14
Claire Liu,Liu,
Irina-Camelia Begu,Begu,
Tamara Korpatsch,Korpatsch,
Yanina Wickmayer,Wickmayer,LL
Vera Zvonareva,Zvonareva,Q
Arantxa Rus,Rus,
Madison Keys,Keys,17
Elina Svitolina,Svitolina,26
Anna-Lena Friedsam,Friedsam,
Anastasia Pavlyuchenkova,Pavlyuchenkova,
Fiona Crawley,Fiona_Crawley,Q
Patricia Maria Tig,Tig,
Rebecca Marino,Marino,
Camila Giorgi,Giorgi,
Jessica Pegula,Pegula,3
Ons Jabeur,Jabeur,5
Camila Osorio,Osorio,
Linda Noskova,Noskova,
Madison Brengle,Brengle,
Tatjana Maria,Maria,
Petra Martic,Martic,
Ashlyn Krueger,Krueger,WC
Marie Bouzkova,Bouzkova,31
Qinwen Zheng,Zheng,23
Nadia Podoroska,Podoroska,
Barbora Strycova,Strycova,
Kaia Kanepi,Kanepi,
Robin Montgomery,Montgomery,WC
Eva Lys,Lys,Q
Lucia Bronzetti,Bronzetti,
Barbora Krejcikova,Krejcikova,12
Daria Kasatkina,Kasatkina,13
Alycia Parks,Parks,
Ana Bogdan,Bogdan,
Sofia Kenin,Kenin,
Greet Minnen,Minnen,Q
Venus Williams,Williams,WC
Sachia Vickery,Sachia_Vickery,Q
Donna Vekic,Vekic,21
Karolina Pliskova,Pliskova,25
Elena-Gabriela Ruse,Ruse,Q
Caroline Dolehide,Dolehide,
Clara Burel,Burel,
Anna Blinkova,Blinkova,
Jodie Burrage,Burrage,
Maryna Zanevska,Zanevska,
Aryna Sabalenka,Sabalenka,2
