Swiatek,1
Zhu,
Trevisan,
Sorribes_Tormo,
Parry,
Dart,WC
Fruhvirtova_Linda,
Martic,30
Linette,23
Teichmann,
Strycova,
Zanevska,
Collins,
Grabher,
Swan,WC
Bencic,14
Kasatkina,11
Dolehide,
Burrage,WC
Mcnally,
Podoroska,
Martincova,
Yuan,Q
Azarenka,19
Mertens,28
Hruncakova,Q
Williams,WC
Svitolina,WC
Hunter,Q
Wang_Xinyu,
Kenin,Q
Gauff,7
Pegula,4
Davis,
Bucsa,
Rakhimova,
Osorio,
Cocciaretto,
Masarova,
Sherif,31
Zheng,24
Siniakova,
Tsurenko,
Liu,
Parks,
Friedsam,
Bogdan,
Samsonova,15
Kudermetova_Veronika,12
Kanepi,
Vondrousova,
Stearns,
Stephens,
Peterson,
Zhang_Shuai,
Vekic,20
Bouzkova,32
Waltert,Q
Kontaveit,
Stefanini,Q
Baindl,
Fernandez,
Volynets,
Garcia,5
Jabeur,6
Frech,
Bonaventure,
Bai,Q
Bondar,
Andreescu,
Maneiro,Q
Kalinina,26
Pliskova,18
Stevanovic,Q
Zhao,Q
Korpatsch,LL
Sasnovich,
Parrizas_Diaz,
Paolini,
Kvitova,9
Haddad_Maia,13
Putintseva,
Cristian,
Bronzetti,
Cirstea,
Maria,
Minnen,Q
Ostapenko,17
Pera,27
Tomova,
Boulter,WC
Saville,
Hibino,LL
Cornet,
Rogers,
Rybakina,3
Sakkari,8
Kostyuk,
Riske_Amritraj,
Badosa,
Golubic,Q
Schmiedlova,
Kartal,WC
Keys,25
Potapova,22
Naef,Q
Juvan,Q
Betova,
Andreeva_Mirra,Q
Wang_Xiyu,
Watson,WC
Krejcikova,10
Muchova,16
Niemeier,
Noskova,
Galfi,
Brengle,
Errani,
Navarro,
Alexandrova,21
Begu,29
Marino,
Wickmayer,Q
Blinkova,
Gracheva,
Giorgi,
Udvardy,
Sabalenka,2
