1,Swiatek,Zhu
2,Trevisan,Sorribes_Tormo
3,Parry,Dart
4,Fruhvirtova_Linda,Martic
5,Linette,Teichmann
6,Strycova,Zanevska
7,Collins,Grabher
8,Swan,Bencic
9,Kasatkina,Dolehide
10,Burrage,Mcnally
11,Podoroska,Martincova
12,Yuan,Azarenka
13,Mertens,Hruncakova
14,Williams,Svitolina
15,Hunter,Wang_Xinyu
16,Kenin,Gauff
17,Pegula,Davis
18,Bucsa,Rakhimova
19,Osorio,Cocciaretto
20,Masarova,Sherif
21,Zheng,Siniakova
22,Tsurenko,Liu
23,Parks,Friedsam
24,Bogdan,Samsonova
25,Kudermetova_Veronika,Kanepi
26,Vondrousova,Stearns
27,Stephens,Peterson
28,Zhang_Shuai,Vekic
29,Bouzkova,Waltert
30,Kontaveit,Stefanini
31,Baindl,Fernandez
32,Volynets,Garcia
33,Jabeur,Frech
34,Bonaventure,Bai
35,Bondar,Andreescu
36,Maneiro,Kalinina
37,Pliskova,Stevanovic
38,Zhao,Korpatsch
39,Sasnovich,Parrizas_Diaz
40,Paolini,Kvitova
41,Haddad_Maia,Putintseva
42,Cristian,Bronzetti
43,Cirstea,Maria
44,Minnen,Ostapenko
45,Pera,Tomova
46,Boulter,Saville
47,Hibino,Cornet
48,Rogers,Rybakina
49,Sakkari,Kostyuk
50,Riske_Amritraj,Badosa
51,Golubic,Schmiedlova
52,Kartal,Keys
53,Potapova,Naef
54,Juvan,Betova
55,Andreeva_Mirra,Wang_Xiyu
56,Watson,Krejcikova
57,Muchova,Niemeier
58,Noskova,Galfi
59,Brengle,Errani
60,Navarro,Alexandrova
61,Begu,Marino
62,Wickmayer,Blinkova
63,Gracheva,Giorgi
64,Udvardy,Sabalenka
