name,klass-name,seed
Alexander Zverev,Zverev,6
Dominik Koepfer,Koepfer,
Roberto Bautista Agut,Bautista_Agut,
Ben Shelton,Shelton,16
Felix Auger-Aliassime,Auger_Aliassime,27
Dominic Thiem,Thiem,
Cameron Norrie,Norrie,19
Juan Pablo Varillas,Varillas,
Maximilian Marterer,Marterer,
Nuno Borges,Borges,
Matteo Arnaldi,Arnaldi,
Adam Walton,Adam_Walton,WC
Andy Murray,Murray_Andy,
Tomas Martin Etcheverry,Etcheverry,30
Christopher O'Connell,OConnell,
Cristian Garin,Garin,
Denis Shapovalov,Shapovalov,
Jakub Mensik,Jakub_Mensik,Q
Jannik Sinner,Sinner,4
Botic van de Zandschulp,Botic_van_de_Zandschulp,
Pavel Kotov,Kotov,
Arthur Rinderknech,Rinderknech,
Dane Sweeny,Dane_Sweeny,Q
Francisco Cerundolo,Cerundolo_Francisco,22
Daniel Altmaier,Altmaier,
Karen Khachanov,Khachanov,15
Alexei Popyrin,Popyrin,
Marc Polmans,Marc_Polmans,WC
Taylor Fritz,Fritz,12
Facundo Diaz Acosta,Facundo_Diaz_Acosta,
Roberto Carballes Baena,Carballes_Baena,
Borna Gojo,Gojo,
Max Purcell,Purcell,
Mate Valkusz,Mate_Valkusz,Q
Marcos Giron,Giron,
Jack Draper,Draper,
Alex de Minaur,Alex_de_Minaur,10
Milos Raonic,Raonic,
Thiago Seyboth Wild,Thiago_Seyboth_Wild,
Andrey Rublev,Rublev,5
Laslo Djere,Djere,
Arthur Cazaux,Cazaux,WC
Arthur Fils,Fils,
Jiri Vesely,Vesely,
Omar Jasika,Jasika,Q
Hubert Hurkacz,Hurkacz,9
Sebastian Ofner,Ofner,
Thanasi Kokkinakis,Kokkinakis,
Fabian Marozsan,Marozsan,
Marin Cilic,Marin_Cilic,
Albert Ramos-Vinolas,Ramos_Vinolas,
Casper Ruud,Ruud,11
Christopher Eubanks,Eubanks,
Taro Daniel,Daniel,
Matteo Berrettini,Berrettini,
Stefanos Tsitsipas,Tsitsipas,7
Daniel Elahi Galan,Galan,
Jason Kubler,Kubler,WC
Alexander Bublik,Bublik,31
Sumit Nagal,Sumit_Nagal,Q
J.J. Wolf,Wolf,
Sebastian Baez,Baez,26
Richard Gasquet,Gasquet,
Carlos Alcaraz,Alcaraz,2
Adrian Mannarino,Mannarino,20
Stan Wawrinka,Wawrinka,
Aleksandar Vukic,Vukic,
Jordan Thompson,Thompson,
James Duckworth,Duckworth,WC
Luca Van Assche,Van_Assche,
Yannick Hanfmann,Hanfmann,
Gael Monfils,Monfils,
Tommy Paul,Paul,14
Gregoire Barrere,Barrere,
Alexandre Muller,Muller,
Hugo Grenier,Grenier,Q
Terence Atmane,Terence_Atmane,Q
Daniil Medvedev,Medvedev,3
Rinky Hijikata,Hijikata,
Jan-Lennard Struff,Struff,24
Jesper de Jong,de_Jong,Q
Pedro Cachin,Cachin,
Daniel Evans,Evans,
Lorenzo Sonego,Sonego,
Roman Safiullin,Safiullin,
Tallon Griekspoor,Griekspoor,28
Patrick Kypson,Kypson,WC
Emil Ruusuvuori,Ruusuvuori,
Holger Rune,Rune,8
Yoshihito Nishioka,Nishioka,
Quentin Halys,Halys,
Lloyd Harris,Harris,Q
Dusan Lajovic,Lajovic,
Giulio Zeppieri,Zeppieri,Q
Constant Lestienne,Lestienne,
Alejandro Davidovich Fokina,Davidovich_Fokina,23
Alexander Shevchenko,Shevchenko,
Jaume Munar,Munar,
Sebastian Korda,Korda,29
Vit Kopriva,Vit_Kopriva,Q
Flavio Cobolli,Flavio_Cobolli,Q
Nicolas Jarry,Jarry,18
Lorenzo Musetti,Musetti,25
Benjamin Bonzi,Bonzi,
Ugo Humbert,Humbert,21
David Goffin,Goffin,Q
Alejandro Tabilo,Tabilo,
Aleksandar Kovacevic,Kovacevic,Q
Grigor Dimitrov,Dimitrov,13
Marton Fucsovics,Fucsovics,
Soonwoo Kwon,Soonwoo_Kwon,
Lukas Klein,Lukas_Klein,Q
James McCabe,James_McCabe,WC
Alex Michelsen,Alex_Michelsen,
Bernabe Zapata Miralles,Zapata_Miralles,
Jiri Lehecka,Lehecka,32
Novak Djokovic,Djokovic,1
Dino Prizmic,Dino_Prizmic,Q
Miomir Kecmanovic,Kecmanovic,
Yosuke Watanuki,Watanuki,
Tomas Machac,Machac,
Shintaro Mochizuki,Mochizuki,LL
Frances Tiafoe,Tiafoe,17
Borna Coric,Coric,
Mackenzie McDonald,Mcdonald,
Juncheng Shang,Shang,WC
Zhizhen Zhang,Zhang_Zhizhen,
Federico Coria,Coria,
