name,klass-name,seed
Magda Linette,Linette,20
Caroline Wozniacki,Caroline_Wozniacki,WC
Linda Fruhvirtova,Fruhvirtova_Linda,
Beatriz Haddad Maia,Haddad_Maia,10
Caroline Garcia,Garcia,16
Naomi Osaka,Naomi_Osaka,
Magdalena Frech,Frech,
Daria Saville,Saville,WC
Lin Zhu,Zhu,29
Oceane Dodin,Oceane_Dodin,
Renata Zarazua,Renata_Zarazua,Q
Martina Trevisan,Trevisan,
Ons Jabeur,Jabeur,6
Yuliia Starodubtseva,Yuliia_Starodubtseva,Q
Peyton Stearns,Stearns,
Daria Kasatkina,Kasatkina,14
Aleksandra Krunic,Aleksandra_Krunic,
Clara Burel,Burel,
Viktorija Golubic,Golubic,
Veronika Kudermetova,Kudermetova_Veronika,15
Cristina Bucsa,Bucsa,
Anna Blinkova,Blinkova,
Marta Kostyuk,Kostyuk,
Claire Liu,Liu,
Katie Boulter,Boulter,
Yue Yuan,Yuan,
Yafan Wang,Yafan_Wang,
Sorana Cirstea,Cirstea,22
Mirra Andreeva,Andreeva_Mirra,
Bernarda Pera,Pera,
Alycia Parks,Parks,
Daria Snigur,Daria_Snigur,Q
Tatjana Maria,Maria,
Camila Osorio,Osorio,
Anhelina Kalinina,Kalinina,24
Arantxa Rus,Rus,
Maria Sakkari,Sakkari,8
Nao Hibino,Hibino,
Sloane Stephens,Stephens,
Olivia Gadecki,Gadecki,WC
Elisabetta Cocciaretto,Cocciaretto,
Lulu Sun,Lulu_Sun,Q
Mayar Sherif,Sherif,
Elise Mertens,Mertens,25
Storm Hunter,Hunter,Q
Sara Errani,Errani,
Lesia Tsurenko,Tsurenko,28
Lucia Bronzetti,Bronzetti,
Nadia Podoroska,Podoroska,
Tamara Zidansek,Zidansek,
Ana Bogdan,Bogdan,
Brenda Fruhvirtova,Fruhvirtova_Brenda,Q
Liudmila Samsonova,Samsonova,13
Amanda Anisimova,Anisimova,
Taylor Townsend,Townsend,
Paula Badosa,Badosa,
Anastasia Pavlyuchenkova,Pavlyuchenkova,
Donna Vekic,Vekic,21
Leylah Fernandez,Fernandez,32
Sara Bejlek,Bejlek,Q
Anna Karolina Schmiedlova,Schmiedlova,
Coco Gauff,Gauff,4
Anna Kalinskaya,Kalinskaya,
Katie Volynets,Volynets,Q
Zhuoxuan Bai,Bai,
Elina Avanesyan,Avanesyan,
Jaqueline Cristian,Cristian,
Katerina Siniakova,Siniakova,
Elena Rybakina,Rybakina,3
Karolina Pliskova,Pliskova,
Petra Martic,Martic,
Ajla Tomljanovic,Ajla_Tomljanovic,
Camila Giorgi,Giorgi,
Victoria Azarenka,Azarenka,18
Qinwen Zheng,Zheng,12
Ashlyn Krueger,Krueger,
Kamilla Rakhimova,Rakhimova,
Emina Bektas,Emina_Bektas,
Tamara Korpatsch,Korpatsch,
Jodie Burrage,Burrage,
Iga Swiatek,Swiatek,1
Sofia Kenin,Kenin,
Fiona Ferro,Fiona_Ferro,Q
McCartney Kessler,McCartney_Kessler,WC
Danielle Collins,Collins,
Angelique Kerber,Angelique_Kerber,
Linda Noskova,Noskova,
Marie Bouzkova,Bouzkova,31
Alizé Cornet,Alizé_Cornet,WC
Maria Timofeeva,Maria_Timofeeva,Q
Rebecca Marino,Marino,Q
Jessica Pegula,Pegula,5
Sara Sorribes Tormo,Sorribes_Tormo,
Alina Korneeva,Alina_Korneeva,Q
Emma Navarro,Navarro,27
Xiyu Wang,Wang_Xiyu,
Jelena Ostapenko,Ostapenko,11
Kimberly Birrell,Birrell,WC
Mai Hontama,Mai_Hontama,WC
Barbora Krejcikova,Krejcikova,9
Ekaterina Alexandrova,Alexandrova,17
Laura Siegemund,Siegemund,
Rebeka Masarova,Masarova,
Aliaksandra Sasnovich,Sasnovich,
Ella Seidel,Ella_Seidel,Q
Aryna Sabalenka,Sabalenka,2
Caroline Dolehide,Dolehide,
Leolia Jeanjean,Jeanjean,Q
Diana Shnaider,Shnaider,
Jasmine Paolini,Paolini,26
Yanina Wickmayer,Wickmayer,
Varvara Gracheva,Gracheva,
Dayana Yastremska,Yastremska,Q
Marketa Vondrousova,Vondrousova,7
Greet Minnen,Minnen,
Clara Tauson,Clara_Tauson,
Emma Raducanu,Raducanu,
Shelby Rogers,Rogers,
Diane Parry,Parry,
Xinyu Wang,Wang_Xinyu,30
Yulia Putintseva,Putintseva,
Anastasia Zakharova,Anastasia_Zakharova,Q
Kaja Juvan,Juvan,
Anastasia Potapova,Potapova,23
Kayla Day,Kayla_Day,
Viktoriya Tomova,Tomova,
Elina Svitolina,Svitolina,19
Taylah Preston,Taylah_Preston,WC
