name,klass-name,seed
Jannik Sinner,Sinner,1
Yannick Hanfmann,Hanfmann,
Matteo Berrettini,Berrettini,
Marton Fucsovics,Fucsovics,
Sumit Nagal,Sumit_Nagal,
Miomir Kecmanovic,Kecmanovic,
Daniel Elahi Galan,Galan,LL
Tallon Griekspoor,Griekspoor,27
Nicolas Jarry,Jarry,19
Denis Shapovalov,Shapovalov,
Daniel Altmaier,Altmaier,
Arthur Fery,Fery,WC
Lloyd Harris,Harris,Q
Alex Michelsen,Alex_Michelsen,
Mattia Bellucci,Bellucci,Q
Ben Shelton,Shelton,14
Grigor Dimitrov,Dimitrov,10
Dusan Lajovic,Lajovic,
Cristian Garin,Garin,Q
Juncheng Shang,Shang,
Stan Wawrinka,Wawrinka,
Charles Broom,Broom,WC
Gael Monfils,Monfils,
Adrian Mannarino,Mannarino,22
Zhizhen Zhang,Zhang_Zhizhen,32
Maxime Janvier,Janvier,Q
Jan-Lennard Struff,Struff,
Fabian Marozsan,Marozsan,
Alexandre Muller,Muller,
Hugo Gaston,Gaston,Q
Aleksandar Kovacevic,Kovacevic,
Daniil Medvedev,Medvedev,5
Carlos Alcaraz,Alcaraz,3
Mark Lajal,Lajal,Q
Aleksandar Vukic,Vukic,
Sebastian Ofner,Ofner,
Borna Coric,Coric,
Felipe Meligeni Alves,Felipe_Meligeni_Alves,Q
Matteo Arnaldi,Arnaldi,
Frances Tiafoe,Tiafoe,29
Sebastian Baez,Baez,18
Brandon Nakashima,Nakashima,
Pavel Kotov,Kotov,
Jordan Thompson,Thompson,
Botic van De Zandschulp,Botic_van_De_Zandschulp,
Liam Broady,Broady,WC
Alexander Shevchenko,Shevchenko,
Ugo Humbert,Humbert,16
Tommy Paul,Paul,12
Pedro Martinez,Martinez,
Otto Virtanen,Otto_Virtanen,Q
Max Purcell,Purcell,
Zizou Bergs,Bergs,Q
Arthur Cazaux,Cazaux,
Jakub Mensik,Jakub_Mensik,
Alexander Bublik,Bublik,23
Mariano Navone,Navone,31
Lorenzo Sonego,Sonego,
Roberto Bautista Agut,Bautista_Agut,
Maximilian Marterer,Marterer,
Luca Van Assche,Van_Assche,LL
Fabio Fognini,Fognini,
Alex Bolt,Bolt,Q
Casper Ruud,Ruud,8
Andrey Rublev,Rublev,6
Francisco Comesana,Comesana,
Federico Coria,Coria,
Adam Walton,Adam_Walton,
Luciano Darderi,Darderi,
Jan Choinski,Choinski,WC
Constant Lestienne,Lestienne,
Lorenzo Musetti,Musetti,25
Sebastian Korda,Korda,20
Giovanni Mpetshi Perricard,Perricard,LL
Yoshihito Nishioka,Nishioka,
Nuno Borges,Borges,
Emil Ruusuvuori,Ruusuvuori,
Mackenzie McDonald,Mcdonald,
Taro Daniel,Daniel,
Stefanos Tsitsipas,Tsitsipas,11
Taylor Fritz,Fritz,13
Christopher O'Connell,OConnell,
Kei Nishikori,Kei_Nishikori,
Arthur Rinderknech,Rinderknech,
Flavio Cobolli,Flavio_Cobolli,
Rinky Hijikata,Hijikata,
Daniel Evans,Evans,
Alejandro Tabilo,Tabilo,24
Jack Draper,Draper,28
Elias Ymer,Ymer_Elias,Q
Cameron Norrie,Norrie,
Facundo Diaz Acosta,Facundo_Diaz_Acosta,
Henry Searle,Searle,WC
Marcos Giron,Giron,
Roberto Carballes Baena,Carballes_Baena,
Alexander Zverev,Zverev,4
Hubert Hurkacz,Hurkacz,7
Radu Albot,Albot,Q
Arthur Fils,Fils,
Dominic Stricker,Stricker,
David Goffin,Goffin,LL
Tomas Machac,Machac,
Roman Safiullin,Safiullin,
Francisco Cerundolo,Cerundolo_Francisco,26
Felix Auger-Aliassime,Auger_Aliassime,17
Thanasi Kokkinakis,Kokkinakis,
Lucas Pouille,Pouille,Q
Laslo Djere,Djere,
Jaume Munar,Munar,
Billy Harris,Harris_B,WC
James Duckworth,Duckworth,LL
Alex de Minaur,Alex_de_Minaur,9
Holger Rune,Rune,15
Soonwoo Kwon,Soonwoo_Kwon,
Paul Jubb,Jubb,WC
Thiago Seyboth Wild,Thiago_Seyboth_Wild,
Quentin Halys,Halys,Q
Christopher Eubanks,Eubanks,
Aslan Karatsev,Karatsev,
Karen Khachanov,Khachanov,21
Tomas Martin Etcheverry,Etcheverry,30
Luca Nardi,Nardi,
Alexei Popyrin,Popyrin,
Thiago Monteiro,Monteiro,
Jacob Fearnley,Fearnley,WC
Alejandro Moro Canas,Mono_Canas,Q
Vit Kopriva,Vit_Kopriva,Q
Novak Djokovic,Djokovic,2
