name,klass-name,seed
Iga Swiatek,Swiatek,1
Sofia Kenin,Kenin,
Francesca Jones,Jones,WC
Petra Martic,Martic,
Yulia Putintseva,Putintseva,
Angelique Kerber,Angelique_Kerber,WC
Marina Stakusic,Stakusic,Q
Katerina Siniakova,Siniakova,27
Caroline Garcia,Garcia,23
Anna Blinkova,Blinkova,
Bernarda Pera,Pera,
Anastasia Potapova,Potapova,
Oceane Dodin,Oceane_Dodin,
Daria Snigur,Daria_Snigur,Q
Ajla Tomljanovic,Ajla_Tomljanovic,WC
Jelena Ostapenko,Ostapenko,13
Danielle Collins,Collins,11
Clara Tauson,Clara_Tauson,
Mayar Sherif,Sherif,
Dalma Galfi,Galfi,Q
Camila Osorio,Osorio,
Lauren Davis,Davis,
Magdalena Frech,Frech,
Beatriz Haddad Maia,Haddad_Maia,20
Barbora Krejcikova,Krejcikova,31
Veronika Kudermetova,Kudermetova_Veronika,
Maria Lourdes Carle,Carle,
Katie Volynets,Volynets,Q
Cristina Bucsa,Bucsa,
Ana Bogdan,Bogdan,
Jessica Bouzas Maneiro,Maneiro,
Marketa Vondrousova,Vondrousova,6
Elena Rybakina,Rybakina,4
Elena-Gabriela Ruse,Ruse,Q
Laura Siegemund,Siegemund,
Kateryna Baindl,Baindl,
Caroline Wozniacki,Caroline_Wozniacki,WC
Alycia Parks,Parks,Q
Lucia Bronzetti,Bronzetti,
Leylah Fernandez,Fernandez,30
Anna Kalinskaya,Kalinskaya,17
Panna Udvardy,Udvardy,Q
Marie Bouzkova,Bouzkova,
Julia Riera,Riera,
Anhelina Kalinina,Kalinina,
Elina Avanesyan,Avanesyan,
Rebeka Masarova,Masarova,
Liudmila Samsonova,Samsonova,15
Ons Jabeur,Jabeur,10
Moyuka Uchijima,Uchijima,
Robin Montgomery,Montgomery,Q
Olivia Gadecki,Gadecki,Q
Viktorija Golubic,Golubic,
Jule Niemeier,Niemeier,
Magda Linette,Linette,
Elina Svitolina,Svitolina,21
Katie Boulter,Boulter,32
Tatjana Maria,Maria,
Harriet Dart,Dart,
Zhuoxuan Bai,Bai,Q
Xinyu Wang,Wang_Xinyu,
Viktoriya Tomova,Tomova,
Ashlyn Krueger,Krueger,
Jessica Pegula,Pegula,5
Qinwen Zheng,Zheng,8
Lulu Sun,Lulu_Sun,Q
Alison Van Uytvanck,Uytvanck,
Yuliia Starodubtseva,Yuliia_Starodubtseva,Q
Irina-Camelia Begu,Begu,
Lin Zhu,Zhu,
Taylor Townsend,Townsend,
Anastasia Pavlyuchenkova,Pavlyuchenkova,25
Renata Zarazua,Renata_Zarazua,LL
Emma Raducanu,Raducanu,WC
Nao Hibino,Hibino,
Elise Mertens,Mertens,
Arantxa Rus,Rus,
Yue Yuan,Yuan,
McCartney Kessler,McCartney_Kessler,Q
Maria Sakkari,Sakkari,9
Daria Kasatkina,Kasatkina,14
Shuai Zhang,Zhang_Shuai,
Tamara Korpatsch,Korpatsch,
Yuriko Lily Miyazaki,Yuriko_Lily_Miyazaki,WC
Paula Badosa,Badosa,
Karolina Muchova,Muchova,
Brenda Fruhvirtova,Fruhvirtova_Brenda,
Mirra Andreeva,Andreeva_Mirra,24
Dayana Yastremska,Yastremska,28
Nadia Podoroska,Podoroska,
Lesia Tsurenko,Tsurenko,
Varvara Gracheva,Gracheva,
Donna Vekic,Vekic,
Xiyu Wang,Wang_Xiyu,
Emina Bektas,Emina_Bektas,
Erika Andreeva,Andreeva_Erika,LL
Jasmine Paolini,Paolini,7
Sara Sorribes Tormo,Sorribes_Tormo,
Greet Minnen,Minnen,
Heather Watson,Watson,WC
Bianca Andreescu,Andreescu,
Jaqueline Cristian,Cristian,
Sara Errani,Errani,
Linda Noskova,Noskova,26
Marta Kostyuk,Kostyuk,18
Rebecca Sramkova,Sramkova,
Daria Saville,Saville,
Peyton Stearns,Stearns,
Anna Karolina Schmiedlova,Schmiedlova,
Yafan Wang,Yafan_Wang,
Martina Trevisan,Trevisan,
Madison Keys,Keys,12
Elsa Jacquemot,Elsa_Jacquemot,LL
Sloane Stephens,Stephens,
Karolina Pliskova,Pliskova,
Diana Shnaider,Shnaider,
Naomi Osaka,Naomi_Osaka,WC
Diane Parry,Parry,
Qiang Wang,Qiang_Wang,
Emma Navarro,Navarro,19
Sorana Cirstea,Cirstea,29
Sonay Kartal,Kartal,Q
Eva Lys,Lys,Q
Clara Burel,Burel,
Olga Danilovic,Danilovic,LL
Anca Todoni,Todoni,Q
Caroline Dolehide,Dolehide,
Coco Gauff,Gauff,2
